News	Subjectivity	Polarity	Analysis
"[""news.com.au's Our Best Shot campaign answers your questions about the COVID-19 vaccine roll out. We’ll debunk myths about vaccines, answer your concerns about the jab and tell you when you can get the COVID-19 vaccine."", ""Prime Minister Scott Morrison has hit out at a growing problem which threatens to derail Australia's COVID-19 recovery hopes."", 'The federal government is speaking with a French company about potentially importing its vaccine to use in the Australian rollout.', 'A GP explains the side effects Australians are experiencing after the COVID-19 vaccine, and why scientists believe they’re a good thing.', 'One of Australia’s top COVID experts has bad news for anyone who thinks getting vaccinated against the virus will be a two-shot-and-done deal.', 'New world rankings have shown the Prime Minister’s pledge that Australia was at “the front of the queue” for COVID-19 vaccines has woefully failed.', 'Experts have delivered a fresh blow to Australians’ hopes for a full return of international travel, with a new forecast warning it’s still years away.', 'Australia has long been held up as a world leader in its fight against coronavirus – but our vaccine rollout has turned into an international embarrassment.', 'Australia had been aiming to open its international borders beyond New Zealand from the end of October, but now that plan sits in limbo.', 'After a week of dizzying news surrounding Australia’s vaccine rollout, we’ve been hit another blow overnight. Here’s what the country says.', 'A RAAF veteran says he is being discriminated against because GP clinics are only taking COVID-19 vaccination bookings from their own patients.', 'Despite all the talk of Australia’s improved vaccine rollout, a number of key dates are missing from the timeline. See what they are.', 'A fresh warning about the risk of blood clotting caused by the AstraZeneca vaccine has cast more doubt on the jab, but it’s not such a big deal. Here’s why.', 'If you’re eligible to get vaccinated against COVID-19 or you want to be prepared for when you are, follow these tips to get ready for your appointment.', 'Just as the world begins to gain ground in the war against COVID-19, a terrifying development could see us ultimately lose – with not even vaccines saving us.', 'As the world struggles with vaccine issues, a new study has revealed we may have our own secret weapon against COVID already in Australia.', 'The Federal government says its vaccine rollout is “progressing” despite fierce criticism over its failure to meet its own targets.', 'Scott Morrison is desperately pretending a major crisis isn’t happening, as Australia is shamed by the world on a crucial measure in the fight against COVID.', 'This pop star received her first dose of the vaccine a month ago – now her whole family has COVID. Here’s why she’s still happy she got the jab.', 'Beijing is holding vulnerable countries in Australia’s neighbourhood ransom, making potentially deadly demands over vaccine deals.', 'US President Joe Biden had an unfortunate slip of the tongue while delivering a COVID-19 vaccine update at the White House on Thursday night.', 'The next stage of Australia’s vaccine rollout is under way, but there is one crucial question that is dividing Australians.', 'The Prime Minister has launched into critics, including health experts, who say our vaccine rollout is being derailed and time is running out.', 'A promising COVID vaccine is now being tested on babies as young as six months old in the ongoing fight against the virus.', 'There is hope the COVID-19 vaccines will allow life to return to normal, but one expert has made a worrying prediction about the coming year.', 'Global herd immunity against COVID-19 won’t be reached until next year, billionaire philanthropist Melinda Gates has said.', 'A new COVID-19 variant has been confirmed in Queensland, forcing dozens of travellers to extend their hotel quarantine stay.', 'A surface spray that kills coronavirus within 90 seconds will be available from today for 5.5 million Aussies across multiple sectors.', 'Qantas and Air New Zealand are trialling digital medical records for post-pandemic overseas travel and it seems Aussies are very much on board with it.', 'A furious Australian doctor claims health experts have been “literally left powerless” thanks to a ridiculous COVID vaccine rule.', 'The coronavirus vaccine is providing some much-needed hope that the pandemic will soon be over. But experts now say that might be “unrealistic”.', ""live\n\t\t\tAustralia's ambitious coronavirus vaccine program has already hit a major stumbling block, with only 30,000 jabs administered so far."", ""live\n\t\t\tAustralia's ambitious coronavirus vaccine program has already hit a major stumbling block, with only 30,000 jabs administered so far."", 'Australians are overwhelmingly supportive of the coronavirus vaccine — but a worrying number still have doubts.', 'It’s the game-changer many Australians have been eagerly waiting for, but how long will it take for the vaccine program to change our lives?', 'A UK father-of-four has died from COVID-19, after being diagnosed with the virus just two days after receiving the vaccine.', 'Two aged care residents in a Queensland nursing home have been given incorrect doses of the COVID-19 vaccine and the Premier is fuming.', 'It’s being touted as our ticket back to normal life, now an expert has answered all the key questions about Australia’s vaccine rollout.', 'Israel has secured a prisoner-swap deal with Syria – but paid for the woman’s return with $1.5 million worth of COVID-19 vaccines.', 'A small but vocal network of anti-vaccination campaigners are preparing to target the COVID jab. Now their antics are being exposed in a doco.', 'A single-line joke about one nation’s COVID vaccination rollout on a Saturday Night Live parody news report has unleashed a wave of anger.', 'A confronting full-page graphic on the cover of The New York Times has revealed the sheer extent of America’s COVID-19 disaster.', 'This TV presenter says there’s a good reason why she received her COVID-19 vaccination before millions of others, telling fans she won’t be shamed.', 'The development of lifesaving coronavirus vaccines has given pharmaceutical executives a huge windfall from selling stocks.', 'It’s the main concern Aussies have when it comes to getting the coronavirus vaccine. Now experts have explained by it isn’t an issue at all.', 'There has been a huge breakthrough in Australia’s coronavirus battle, with the TGA provisionally approving the AstraZeneca vaccine.', 'The US Vice President has been slammed for repeating a “ridiculous lie” about the COVID-19 vaccine that was debunked nearly a month ago.', 'Fury has erupted as 67-year-old serial killer Rosemary West receives a lifesaving COVID-19 jab ahead of millions of British citizens.', 'The start of the COVID-19 vaccine rollout is just weeks away – and Aussies have a lot of questions. Here is everything you need to know.', 'Aussies could soon have their pick of tropical holiday locations after Scott Morrison suggested new travel bubbles were in the works.', 'Scientists are already developing new versions of existing vaccines after warnings they may not be as effective on mutant variants of the virus.', 'Two experts have claimed while it is important to vaccinate Australia’s most vulnerable, the country is “hoarding” supplies.', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']"	0.5208527737694403	0.08377815856982528	Positive
"['Stuck inside amid the COVID-19 pandemic? News.com.au has all the ideas for how to pass the time, including best books, podcasts, recipes and indoor workouts.', 'The Budget has provided a hint on when international travel will recommence, with a big change in our tourism industry.', 'The interruptions to a child’s education from COVID-19 could have a devastating effect on learning.', 'A lot has changed in Greater Melbourne over the last month. Here’s a rundown of what you can and cannot do during the lockdown.', 'Netflix added more subscribers in the first half of this year than our country has people – and it even deleted some accounts on the way.', 'Google has revealed a “time-travelling” new feature that can put realistic dinosaur models right in front of you wherever you are.', 'From funny comedies to tense dramas, here’s what’s coming to 10 different streaming services in June. It’s a lot to take in.', 'When Reese Witherspoon called his name out at the Golden Globes earlier this year, few people had seen Ramy Youssef’s very excellent TV series.', 'You shouldn’t be surprised to find yourself pausing midway and double-checking your windows and doors are locked.', 'Hugh Jackman might be getting all the attention for his star turn in this new movie, but the wild story is the real draw.', 'There can be no other actor who is having as much fun as Nicholas Hoult in his new TV series where he gets to play a man-child ruler.', 'With a strong commitment to making you laugh as much as possible, this clever and charming comedy really went under the radar.', 'With great performances and three intriguing storylines, this new eight-part, globetrotting miniseries is definitely worth checking out.', 'Forget chugging expensive lemon and ginger “wellness shots” – an expert shares five ways to strengthen your immune system this winter.', 'Australians should be inviting friends over for lunch, not dinner, and requesting that they bring their own sandwich. This is why.', 'For three years, thousands of people participated in a real-life citywide game, now the basis of a new TV series from Jason Segel.', 'For three years, thousands of people participated in a real-life citywide game, now the basis of a new TV series from Jason Segel.', 'It seems we’ve moved on from buying cake mixes and baking bread. Now it’s all about this classic treat.', 'This Australian drama starring Hugo Weaving was meant to be out in cinemas now but has been diverted for digital release at home.', 'With Ryan Gosling and Russell Crowe as the most unlikely pair of detectives trying to solve a conspiracy, you know you’re in for a good time.', 'After you watch the first episode, you won’t be able to quantify how much you love it. Yes, it’s that good.', 'Emma Wiggle is set to perform an at-home virtual birthday party for kids stuck indoors during the coronavirus lockdown.', 'Australian supermarkets have reported huge increases in sales of this DIY item, but experts are warning us not to attempt it at home.', 'As we continue to spend time indoors, there’s been an unexpected demand for one homewares item that Aussies have been buying big on.', 'The coronavirus pandemic has sparked strange dreams among many people and there are several reasons why they may be more vivid than normal.', 'A woman’s storage solution “life hack” has gone viral, showing a simple way to increase your wardrobe capacity using a Coke can.', 'A new Netflix romantic-comedy movie has dropped on the streaming platform, and fans are already begging for a sequel.', 'With a high laughs-per-minute ratio and sharp, smart writing, don’t be surprised if you binge all 10 episodes in one go.', 'The biscuit company has adapted a recipe for an iconic bestseller so you can make it at home – and you’ll only need a few pantry items.', 'Former Biggest Loser host Fiona Falkiner looks “bloody amazing” in a budget $39 outfit from Big W – which fans are snapping up fast.', 'Greg Daniels is best known for the US version of The Office, but his new TV series is playing in a very different sandbox.', 'Big retailers have revealed changes in the spending habits of Australians during the coronavirus lockdown.', 'Just because everyone on your social feed is cooking, doesn’t mean you have to. Let these meal boxes do the hard work for you.', 'Anna Kendrick’s TV show is among the slate of new HBO Max original series, and it’s found a home and a date in Australia.', 'A perfect cocktail of wry humour and poignant story beats, Netflix’s new comedy is exactly what you want to watch right now.', 'While men are growing their beards in lockdown, new sales from Priceline reveal women have taken the complete opposite route.', 'There are a lot of unexpected upsides of being stuck at home due to the lockdown laws, such as working out with Olympian Pita Taufatofua.', 'Being stuck in isolation may have you flexing your green thumb but here’s what you need to know before you head out to your local hardware store or garden centre.', 'The world might be an anxious and chaotic place right now, but here’s five things you can do to give yourself an instant boost, while helping others.', 'You may know him best as Captain America but Chris Evans is expanding his dramatic horizons in this expensive new streaming show.', 'One of Sydney’s most popular restaurants is helping customers whip up gourmet meals at home – but you’d better get in quick.', 'If you’re worried about your excess screen time, it might be time to switch to a book. These 10 titles will keep you occupied during isolation.', 'A new isolation must-have has earned an Aussie brand a huge amount of money as many describe the item as the “best I have ever worn”.', 'It’s been a closely guarded secret for almost a century, but after 94 years Arnott’s have shared a recipe for one of its classic biscuits.', 'Thrilling and suspenseful, you wouldn’t believe a TV series spin-off from a classic movie could be this good.', 'If you’re looking to pick up a new isolation hobby, allow us to make some recommendations based solely on your star sign.', 'Aussies are already “sick” of making dinner every night, turning to a home delivery service that has seen sales double in lockdown.', 'The gym might be closed but you can still stay active (and sane). Here are 10 online workouts you can do from your living room. No equipment needed.', ""If you want to lose a few stubborn kilos while in lockdown, you're going to need to change your relationship with food. We ask the experts how."", 'The biggest names in Australian music will gather to perform a televised concert on Anzac Day, to appreciate workers on the frontline of the COVID-19 pandemic.', 'Want to laugh, cry, or even solve a cold case? You need one of these podcasts, designed to help you get through coronavirus isolation.', 'Home-schooling is the new reality for many families and virtual learning has never been more important. These eight programs will make things easier.', 'Learning a foreign language is a bucket list item for many, but here’s how to stay motivated and inspired while doing it in isolation.', 'A dad has been roasted after sharing the way he organises his cutlery drawer – so which way is right? An expert has weighed in.', 'There are plenty of tricks you can use to create Insta-worthy treats and it can take as little as four ingredients to get a brilliant result.', 'This jigsaw puzzle is so big that when completed it’s over 8 metres wide and almost 2 metres high. And the price will have you gasping.', 'With a whole host of things going virtual, here’s one thing you’ll be glad to try from the comfort of your own living room – without an audience.', 'Forget the curvature of the human body, what about the curvature of a building? If it’s house porn, sign us up!', 'Everyone has secrets and everyone has an ulterior motive in this thrilling TV series you could start bingeing today.', 'Hand sanitiser might be a hot commodity right now with the product sold out in supermarkets nationwide, but it’s actually just as easy to make your own.', 'While going to your local is out of the question, DIY pub trivia nights are steadily gaining popularity. Here are five sites which make it super easy to host your own.', 'Forget toilet paper – keep your alcohol supplies topped up during lockdown with these delivery services. Social distancing just got a whole lot easier.', 'If being in isolation has you feeling tense, these seven meditation and mindfulness apps and programs will offer you some calm during the day.', 'Coronavirus has thrown our travel plans out the window, but this ‘experience’ will bring the world to your lounge room – and for a fraction of the price.', 'It’s tempting to sit around binge-watching Netflix during isolation – but these free online courses could help you upskill during the COVID-19 crisis.', 'As the nation goes into lockdown, you can still have a healthy bite that’s easy to prepare for that all-important lunch break.', ""If you've finding it hard to switch off at night or spending your time in bed tossing and turning, you're not alone. Here's how to fix it."", 'Daniel Craig is off-the-charts outrageous in this fun and clever heist movie you could watch at home tonight.', 'As the world continues to live life in lockdown, one enterprising 19-year-old chef is enlightening the world about one fan favourite: chicken nuggets.', 'On the one hand, it’s an emotional story about love and loss, on the other, streaming isn’t the ideal platform for this movie.', 'Not only is this DIY quaran-cleaning hack super cheap, ridiculously easy and effective, it also means one less thing to pick up at the supermarket.', 'Easter has come and gone and an obesity expert says “there’s no reason why we shouldn’t have lost a kilo” by the time our coronavirus social isolation ends too.', 'This mum has a hack to increase the shelf life of everything in your fridge, as panic buying around the world skyrockets.', 'The positives aren’t going to make up for the dire situation we are all in together. But there are some things to feel good about, says Melissa Hoyer.', 'Apple knows you’re stuck at home, so it’s offering up a selection of its subscription TV shows and movies free to watch for everyone.', 'Just because you are stuck at home, it doesn’t mean you can’t enjoy some five-star indulgences at a fraction of the price. Here’s how.', 'A new Netflix movie is dropping in time for the weekend, and it has a very personal history behind it.', 'We’re starting to have cravings for few things from our old life, but if you’re hankering for a Macca’s – this mum has got you covered.', 'When your first season was award-winning and an audience favourite, going back for another round is a risky endeavour.', 'If you’d planned to go away this Easter long weekend and you’re now at home with nothing to do, don’t worry - you can see some fabulous locations.', 'A Florida sheriff has lifted the lid on the investigation into one of the biggest mysteries from Tiger King – what happened to Carole Baskin’s husband?', 'Want to unleash your inner baker, but don’t have any yeast, or the time to make a sourdough starter? Here are 12 recipes you need to know.', 'Spending the Easter school holidays in social isolation might seem like a daunting task so here’s a list of fun activities you can access from home.', 'A simple recipe for basic white bread, baked in a slow cooker. What? Check out this six-ingredient slow cooker bread recipe.', 'A high-grade item once seen as a luxury has “become a need” since we went into lockdown, as Aussies turn to at-home options for difficult tasks.', 'Australians have been urged to “stay at home” this Easter but it doesn’t mean there aren’t still plenty of ways to have fun while staying safe.', 'A former soldier is accused of kidnap and murder. He says he’s innocent but there’s CCTV to prove it. But sometimes, video lies.', 'If you’ve got rice, pasta, noodles and beans in the cupboard but aren’t sure how to turn them into a delicious meal, here is the answer.', 'This confusing snap has become the posterchild for life in lockdown, as just like our new normal, it is totally mind-boggling.', 'One of the directors of Netflix docuseries Tiger King has revealed that some of the most “unsettling” footage ended up on the cutting room floor.', 'There are some items a well-stocked pantry should always have  and they will save you time and money if you do it right.', 'Australians have been buying big on “new normal” essentials - with what we’re snapping up proving very different to this time last year.', 'Australian actress Naomi Watts has documented her rough stint in isolation with a hilarious video after three of her appliances broke down.', 'We usually only wear pyjamas to bed, but as Australia adjusts to life in lockdown, this basic item is flying off the shelves in record numbers.', 'Raging controversy saw its release scuttled last year and the coronavirus derailed its cinema debut. From tomorrow, you can watch it at home.', 'The Easter Show has been cancelled, but you can still snag a showbag after Woolworths stepped in to get the nostalgic treat in select stores.', 'Horror fans have gotten a little more than they bargained for with Netflix’s latest offering, with many left shaken to their core.', 'Former 90210 actress Tori Spelling has been hit with a major backlash after announcing her latest business venture.', 'Cooped-up couples are sharing some of their most ridiculous fights in lockdown, from leaving crumbs on the counter to letting out too many “stress farts”.', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']"	0.5067071079273462	0.1485544074532169	Positive
['People in Spain celebrated in the streets in the early hours of Sunday, May 9, as a COVID-19 curfew was lifted for most of the country. The state of emergency came to an end at midnight, El Pais reported. This footage, recorded by Javier Vias, shows the celebratory scenes at the Puerta del Sol in Madrid. Vias described the scene on Twitter as “the new normal.” Credit: Javier Vias via Storyful', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']	0.5429456906729635	0.25817591499409676	Positive
['People in Spain celebrated in the early hours of Sunday May 9, as a COVID-19 curfew was lifted for most of the country. The state of emergency came to an end at midnight, Catalan News reported. This footage, recorded by Alejandro Pérez-Vico, shows the celebratory scenes in Barcelona and the police gathered nearby. The curfew has been lifted in 13 of Spain’s 17 regions, CNN reported. Credit: Alejandro Pérez-Vico via Storyful', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']	0.5408730158730158	0.2837301587301587	Positive
"['New South Wales Chief Data Scientist and ACS President Dr Ian Oppermann has spoken to Sky News about some ""very important investments"" for organisations amid the continual COVID-19 pandemic.', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']"	0.5965503246753247	0.2824918831168831	Positive
"['Sky News host Sharri Markson has assessed ""chilling"" details from a document produced by Chinese military scientists, in which they discussed weaponising SARS coronaviruses five years before the COVID-19 pandemic hit.\n\nMs Markson said the book was written by People\'s Liberation Army scientists and senior Chinese public health officials in 2015.\n\nThe documents describe SARS coronaviruses as heralding a “new era of genetic weapons” and said they can be ""artificially manipulated into an emerging human - disease virus, then weaponised and unleashed in a way never seen before"".\n\nThe Chinese-language paper is called \'The Unnatural Origin of SARS and New Species of Man-Made Viruses as Genetic Bioweapons\'.\n\n“The document also talks about the psychological terror that bioweapons can cause, it\'s chilling,” Ms Markson said. \n\n“To be clear ... while intelligence agencies suspect, and they\'ve been investigating this since early last year, that COVID-19 may be the result of an accidental leak from a Wuhan lab, there is no suggestion it was an intentional release.\n\n“The significance of this paper is that it offers a rare insight into how senior scientists at one of the PLA\'s most prominent military universities, where high levels of defence research were conducted, were thinking about biological research.”', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']"	0.4301390276390276	0.07062687312687314	Positive
['The IPA’s James Bolt says Australia has so many hospitals free of COVID-19 patients who should be able to help citizens stranded in India.\n\nPrime Minister Scott Morrison announced no flights will be allowed to come in from India until at least May 15 due to a surge in COVID-19 there.\n\n“This is just the completely wrong decision and I can’t believe this is the policy response.”', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']	0.5764880952380953	0.17321428571428568	Positive
['RASHAYS founder Rami Ykmour says the New South Wales government has been fantastic in regards to its response to the coronavirus pandemic.\n\n“What Gladys (Berejiklian) has done for us – the dine and discover voucher they released – we see them as a partner,” Mr Ykmour told Sky News.\n\n“We are very lucky and very blessed.”', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']	0.5972402597402598	0.2773268398268398	Positive
['Coronavirus restrictions in the Greater Sydney region have been extended until May 17 even though no further cases have been recorded after the two initial mystery infections.\n\nNew South Wales has recorded zero new locally acquired infections for the third consecutive day but authorities argue the week extension of restrictions is an important safety precaution.\n\nRestrictions must be obeyed by residents of the Greater Sydney region, Wollongong, the Central Coast and the Blue Mountains and include a 20-visitor limit for households and a two-visitor limit at aged care facilities.\n\nDrinking while standing in addition to singing and dancing has been banned at indoor venues and the mask mandate will remain in place for public transport. \n\nWhile restrictions have been extended in NSW, the travel bubble with New Zealand will resume due to the fact no new infections have been recorded .', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']	0.39872191300762727	0.14205318491032776	Positive
"[""The prime minister's messaging on his COVID-19 management strategy has undergone a dramatic change over the past few months to the point where he is now “smashing that panic button,” says Sky News host James Morrow.\n\nMr Morrison revealed to the Sunday Herald Sun he intended to keep Australia’s borders closed indefinitely saying the completion of the vaccine rollout did not guarantee a reopening.\n\nHe also acknowledged he had no plans to abandon a “zero cases” target.\n\nMr Morrow said the Coalition were in “full-on election mode” and “smashing that panic button as hard as they can to stay in power”.\n\nSky News host Rita Panahi pointed out while “this is frightening stuff ... it is electorally popular”."", 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. Find out more about our policy and your choices, including how to opt-out.', 'Nationwide News Pty Limited Copyright © 2021. All times AEST (GMT +10).', 'Powered by WordPress.com VIP']"	0.5238095238095238	0.03296703296703299	Positive
