,News,Subjectivity,Polarity,Analysis
0,"['Hundreds of thousands of people have been contacted in a bid to stop a new Victorian outbreak in its tracks, as AFL spectators are targeted for testing.', 'States and territories have been quick to hit Victorian travellers with new requirements after a shock new case of COVID-19 was recorded.', 'Temporary restrictions have been in place since a recent COVID-19 case, but Gladys Berejiklian has hinted when she’ll make a call on their end.', 'An international sailor has been found kilometres out to sea from Melbourne after jumping overboard into Port Phillip Bay.', 'Commuters on two train services and three stations have been caught up in Melbourne’s latest positive coronavirus case.', 'The movements of a man who tested positive to coronavirus a week after arriving in Melbourne have been revealed with alerts for multiple venues.', 'Brazil has banned AstraZeneca jabs for pregnant women and Slovakia also suspended the jab as both countries are investigating two blood clot deaths.', 'A Victorian man who tested positive for coronavirus had returned from COVID-ravaged India, with fears the state may face new restrictions.', 'Millions more COVID vaccination doses and specialised quarantine facilities in the NT have been funded.', 'States have reacted after Victoria recorded a new case of COVID-19, with some people being told to go into quarantine.', 'Health officials have narrowed down the “most likely” source of a Victorian man’s positive COVID-19 test.', 'NSW Health officials have issued a stern warning despite no new local coronavirus cases detected in the latest reporting period.', 'A recent COVID-19 case in Sydney that has stumped NSW Health officials has prompted the state’s chief health officer to issue a stern warning.', 'The World Health Organisation has said a COVID variant in India is “of concern” as a challenge to the federal government’s travel ban suffers a setback.', 'A new vaccination hub will be able to put 30,000 coronavirus vaccine shots, with thousands booked in already.', 'The state has recorded another day of zero local cases as the Premier announced people aged between 40 and 49 years will now be able to register for the Pfizer vaccination.', 'Authorities have identified a new venue of concern as part of investigations into two local cases of COVID-19, as the NSW travel bubble with New Zealand is given the all-clear again.', 'There have been no new confirmed COVID-19 infections in NSW, but officials are still worried the virus could be spreading in Sydney.', 'The NSW chief health officer has issued a grim warning about Sydney’s ‘missing link’, saying the virus could be spreading in secret.', 'New Zealand has reopened its borders to NSW after two local cases were discovered in Sydney, bringing the bubble to a dramatic halt.', 'NSW has announced a major change to where people need to wear masks, while several other rules have been extended for a week.', 'There is not enough evidence on how the current crop vaccines reduce transmission to wind back quarantine programs yet, Prime Minister Scott Morrison says in a wide-ranging interview.', 'The number of expected rescue flights from India has increased after National Cabinet met, with Scott Morrison confirming when the first will depart.', 'NSW has recorded no new local COVID cases on Sunday however restrictions will be extended for a week - with one amendment.  Meanwhile, the city’s mass vaccination hub will open its doors on Monday.', 'Customers at a busy Sydney Woolworths have been told to get tested and isolate immediately if they visited the store during a potential exposure time.', 'Five Australians have suffered blood clots believed to be linked to the AstraZeneca vaccine in just one week, with one man being treated in ICU.', 'Experts have revealed an unsettling theory about Sydney’s latest COVID outbreak that could mean the ‘missing link’ is never found.', 'No new COVID cases were recorded in NSW on Friday, as venues postponed big events and scrambled to comply with snap restrictions announced just 24 hours earlier.', 'Authorities are investigating reports an Australian has died in India, as the nation is crippled by the coronavirus crisis.', 'Moo Moo the chihuahua is back with his family in Australia after being stranded in London for seven months due to the COVID-19 pandemic — and the reunion did not come cheap.', 'Australians stuck in India tell their horror stories as a shock number of Aussie children stranded in the subcontinent is revealed.', 'A Sydney restaurant has joined a long list of COVID exposure sites – and NSW Health criticised the eatery for a ‘concerning’ reason.', 'Jim’s Mowing has launched court action that could ‘open the floodgates’ for hundreds of other business owners and have huge ramifications.', 'Scott Morrison has confirmed when the India flight ban will end, but COVID-stricken Aussies will not be allowed on rescue flights.', 'More restrictions will ease across Victoria, with the move allowing more people inside bars, restaurants and nightclubs.', 'Victoria’s COVID quarantine agency has been rocked by another breach after an intruder was able to gain access to a hotel housing returned travellers.', 'An 11am update will reveal whether Sydney’s outbreak has spread further – but the NSW Premier has already hinted it could be good news.', 'Sydneysiders woke up in a city on edge as health officials scramble to contain an outbreak – and the next 72 hours will be crucial.', 'Sydneysiders will again be blocked from travelling to many other states after a COVID-19 outbreak in the city.', 'One Sydney man’s ambitious barbecue plan unwittingly led to the state again imposing COVID restrictions — and again they will hurt us on a significant weekend, writes Anna Caldwell.', 'Coronavirus fragments have been found in a sewage network that services a big part of Sydney’s inner west, just hours after NSW’s new case.', 'A restaurant in Sydney’s CBD is the latest venue to be added to the COVID exposure list, alongside a second Westfield, after another NSW case.', 'Mother’s Day will be slightly different this year as Sydneysiders are instructed to follow strict new COVID-19 safety measures this weekend.', 'NSW Health has issued new venue alerts as contact tracers work to find the source of two local COVID cases. Here’s the full list.', 'A research group has estimated the monthly cost of Australia’s closed international borders – and the bill is frightening.', 'Most COVID-19 restrictions are set to be lifted in Western Australia this weekend but some will stay in place for a while. Here’s what you can and can’t do.', 'Australia’s drug regulator has revealed new figures about adverse events in people who have had a coronavirus vaccine.', 'NSW health officials have revealed how a Sydney man was infected with COVID as his wife tests positive to the illness as well.', 'Treasurer Dominic Perrottet has been forced to self-isolate after being linked to Sydney’s mystery COVID case. The virus has now been detected in sewage, as QR code use plunges across the state.', 'Scott Morrison has weighed in on claims he has “blood on his hands”, while refusing to reveal when the first repatriation flight from India will be.', 'Our Apps']",0.4372699769976997,0.08058555855585561,Positive
1,"['', 'Finance Minister Simon Birmingham says Australia is the only country in the developed world to see more people in work today than before the pandemic.\n\n""We\'ve been able to - because of the management through the COVID crisis - to get to a point where we\'re seeing strong economic growth,"" he said.\n\n""We\'re the only country across the developed world to be in that position where we\'ve actually got more people back in work pre-pandemic. Everybody else is still struggling to get back to that starting point. \n\n""That has given us the window of opportunity to be able to invest in our aged care services, in our mental health services, in careful, targeted ways, but in ways that keep our net debt lower than forecasted in our last budget.""\n\nNet debt is expected to climb to $980.6 billion by 2024/25.', 'SKY', 'Read More', 'Our Apps']",0.4071428571428571,0.13968253968253969,Positive
2,"['Hundreds of Victorians have been asked to isolate and get tested after a COVID-positive Melbourne man visited a slew of CBD sites.', 'This coronavirus article is unlocked and free to read in the interest of community health and safety. Click here for full digital access to trusted news from the Herald Sun and Leader.', 'Hundreds of Victorians have been ordered to isolate after a man returned from hotel quarantine in Adelaide and tested positive for \xadcoronavirus.', 'Train passengers were on Tuesday night also ordered into isolation, after the Department of Health revealed the infected man travelled on public transport.', 'Authorities were scrambling to determine whether commuters may have been exposed to the virus last week.', 'Anyone who caught the 5.28pm Craigieburn to Southern Cross service on Friday May 7, or the 10.20pm Flinders Street to Craigieburn service on the same night, must get tested and isolate immediately.', 'Both services have been deemed a Tier 2 exposure site by the Department of Health.', '“If you were on this service – in any carriage, and alighting and departing at any station – follow the health advice,” a statement read.', 'Flinders Street station, Southern Cross station and Craigieburn station have all been deemed Tier 3 exposure sites, meaning anyone who was at any of these stations on May 7 must monitor for COVID symptoms.', 'Alerts were also issued on \xadTuesday for exposure sites in Melbourne’s CBD, Epping and Altona North between \xadThursday and Saturday last week. Health investigators believe the man, aged in his 30s, was infected while in hotel \xadquarantine at The Playford Hotel.', 'A patient in an adjacent hotel room on May 4 tested positive to COVID-19 — the same day the man was released from his 14 days of isolation and flew to Melbourne.', 'He went home to Wollert in the northern suburbs but began feeling unwell on May 8. He took a coronavirus test on Monday and returned a positive result on Tuesday.', 'Victorian chief health officer Brett Suttons said it was unlikely the man was infectious during his first two days in Victoria.', 'Passengers on his May 4 flight do not have to isolate.', '“The flight is unlikely to be something to chase up. The fourth is not a day that we expect him to be infectious,” Prof Sutton said.', '“But, with variants of concern and the evolution of the virus all the time, we have to be alive to the possibility.', 'Genomic testing is expected to confirm the source of the man’s infection within 48 hours. He flew from coronavirus-ravaged India, via the Maldives and Singapore, before landing in Adelaide.', 'But South Australian chief health officer Nicola Spurrier said the man tested negative to COVID-19 on days one, five and 13 of his quarantine.', 'Although health authorities were working on the presumption the virus may have been passed within Victoria, Prof Sutton said negative tests from the man’s three relatives were a positive sign.', '“It is an early encouraging sign that the household contacts have tested negative, on the basis that he has been home with them and symptomatic from the 8th (of May), and probably infectious from the 6th,’’ he said.', 'Four tier-1 exposure sites were announced, and people who had been there in the specified period must be tested and isolate immediately. There were two tier-2 exposure sites.', 'Melbourne CBD business Citadel Health was cleared to reopen Tuesday afternoon after the negative test by a relative of the man, who visited the Collins Street premises.', 'Curry Vault Indian Restaurant and Bar owner Kailash Sharma, whose city eatery was named a tier-1 exposure site, said he was “devastated”.', 'Mr Sharma said his business had lost more than $100,000 last year’.', '“We are closed for a deep clean until 10pm tonight and all affected staff have self-isolated,” he said on Tuesday. “It’s very concerning, it’s such a terrible feeling when innocent people are caught up in this.”', 'Prof Sutton said the latest case served as a reminder to renew safe practices and continue using QR codes.', 'He warned vaccines would not slow the spread of local COVID-19 outbreaks until 60-70 per cent of the population was vaccinated, meaning measures such as lockdowns remained a defence for future clusters.', '“The government has had months to prepare for this sort of scenario,” opposition health spokeswoman Georgie Crozier said. “It’s critical that we have contact tracing in place otherwise the entire state will be at risk of yet another lockdown.”', 'Victoria had gone 73 days without a locally acquired case.', 'Travellers arriving in NSW from Melbourne will now need to complete a declaration form confirming they have not attended a public exposure site.', ""To join the conversation, please\n log in. Don't have an account?\n Register"", 'Join the conversation, you are commenting as  Logout', 'The Melbourne venues visited by a Victorian man who tested positive to COVID-19 have been revealed as authorities scramble to trace his close contacts.', 'A COVID-19 Quarantine Victoria staffer has gone on leave after issues within the trouble-plague program were exposed.', 'Our Apps']",0.34399881164587043,0.03241235888294712,Positive
5,"['States have reacted after Victoria recorded a new case of COVID-19, with some people being told to go into quarantine.', 'Travellers who have recently returned to Western Australia from Victoria have been warned they must get tested for COVID-19 immediately after an outbreak of the virus in the eastern state.', 'It comes after a man aged in his 30s tested positive for coronavirus in Melbourne after completing 14 days of quarantine in a South Australian hotel.', 'Western Australia has been criticised by some for slamming its border shut whenever there has been an outbreak in another jurisdiction, but health authorities have been slowly moving away from that method.', 'The health department has issued an alert, saying anyone who has been to exposure sites in Victoria at the specified times should get tested immediately for COVID-19 and quarantine for 14 days from the date of exposure.', ""The case was likely infectious from May 6 to 10, Western Australia's chief health officer Andy Robertson said in a statement."", 'Anyone who has travelled to the state from Victoria is also urged to monitor the Victorian Health website for exposure locations as contact tracing continues.', '“We believe any risk to WA remains very low,” Dr Robertson said.', '“However, the situation highlights the importance of remaining vigilant to prevent any spread of the virus or community transmission in this state.', '“We will continue to monitor the situation in Victoria very closely and issue updated health advice if required.”', 'Meanwhile, Queensland health authorities are warning anyone who has been to an exposure site — who is already in Queensland or will enter Queensland before 1am on Thursday — must call 134 COVID and immediately travel by private transport then quarantine for 14 days.', 'Anyone arriving in Queensland after that date must undertake mandatory hotel quarantine for two weeks.', '“We are asking all Queensland to continue to monitor the list of interstate exposure venues for 14 days after you arrive to ensure no new venues have been added,” a statement read.', '“We are also asking all Queenslanders to reconsider travel to Victoria.”', 'New South Wales Health says authorities are continuing to closely monitor the situation in Victoria.', 'People arriving from the Greater Melbourne area from 6am on Wednesday must complete a declaration that confirms they have not attended a venue of concern.', 'Anyone who has attended any of the exposure venues at the times listed must contact New South Wales Health immediately on 1800 943 553.', '“These declaration forms provide critical information to enable New South Wales Health to contact travellers if required and is for all travellers who intend to enter New South Wales by air, road and rail having been in Greater Melbourne in the previous 14 days,” a statement read.', 'Australians stranded apart from their loved ones have been crushed by a “cautious” prediction about international travel in the budget.', 'One key assumption at the heart of the federal budget underpins everything else. If it’s wrong, Australia’s economic recovery could be totally derailed.', 'Our Apps']",0.41681313131313125,0.06247474747474746,Positive
8,"['', 'The man in his 30s recently returned to Australia from India and undertook hotel quarantine in South Australia', 'HeraldSun', 'Read More', 'Our Apps']",0.375,0.25,Positive
9,"['', 'The Victorian man who tested positive after completing hotel quarantine in South Australia has returned another positive test, but his three household contacts have not.\n\nHe underwent the mandatory 14-day quarantine period in South Australia after returning to Australia and arrived back in Victoria on May 4.\n\nHe began displaying COVID symptoms when he returned to his Wollert home on May 8 and got tested on May 10 before returning a positive result on Tuesday morning.\n\nVictoria Health Minister Martin Foley outlined the tier-one sites the infected man visited. People who visited these sites must get tested and isolate for 14 days.\n\n“Firstly, the Melbourne CBD, the Curry Vault Indian restaurant and bar at 18 to 20 Bank Place between 6:30pm and 9:30pm on Friday, 7 May,"" Mr Foley said,\n\n“Secondly, in Epping, Indiagate Spices and Groceries at unit 14 C, 560 - 590 High St, Epping between 5pm and 6pm on Saturday eight May.”\n\nThe tier-two sites listed require people to return a negative COVID-19 test result.\n\n“The first site is in Altona North. It is the TIC group, which is a warehouse, it is the rear warehouse section at 200 and 32 Blackshaw Road, all day on Thursday 6 May. \n\n“In Epping at 7-11, and that is the 7-11 at 705 High St, which is on the corner of Cowper Street between 6:30pm and 7pm on Thursday six May, and the Epping 7-11 again at the same site, 705 High St on the corner of Cowper Street between 11:10am and 11:40am on Saturday, 8 May.”', 'SKY', 'Read More', 'Our Apps']",0.38061771561771557,0.1432167832167832,Positive
10,"['', ""Prime Minister Scott Morrison says Australia is “moving beyond emergency responses” to the pandemic and has begun the recovery phase.\n\nThe prime minister said the upcoming budget will show how the government was “protecting Australia” against the COVID-19 pandemic.\n\n“How we create jobs, how we guarantee the essential services that Australians rely on, whether it be in aged care or mental health, the National Disability Insurance Scheme,” Mr Morrison said.\n\n“It's against that pandemic background that tonight's budget is framed. We will continue to take responsible action to save lives and to save livelihoods.\n\n“While moving beyond emergency responses as we have been doing for these last 18 months, we move into the recovery phase and continue to provide the support that both Australians need, to protect their lives, and to protect their livelihoods.”"", 'SKY', 'Read More', 'Our Apps']",0.30238095238095236,0.08571428571428572,Positive
12,"['Anthony Mundine says there are “evil plans” to reduce the global population, suggesting the COVID-19 vaccine rollout is “blatant genocide”.', 'Veteran broadcaster Ray Hadley has blasted Australian boxing great Anthony Mundine for calling the COVID-19 vaccine rollout “blatant genocide” and suggesting there are “evil plans” in place to enforce global depopulation — while offering no proof to back up his outrageous claims.', 'Mundine shared a bizarre post to his Facebook page on Monday afternoon, calling on his followers to “do your research” about the coronavirus.', 'The 45-year-old claimed, without any supporting evidence whatsoever, the vaccine paralyses the body’s immune system. In actuality, vaccines work by training the immune system to fight diseases.', '“You take the shot then you will have serious health problems even death!” Mundine wrote.', '“There (sic) evil plans are to depopulate the world to 1 billion people we are at 7/8 billion now … this is blatant genocide on the human race with a virus that has 99.7% recovery rate!', '“I’ll let my immune system go to work cause if you take the shot your immune system becomes paralysed!', ""“DON'T TAKE IT! DO YOUR RESEARCH.”"", 'Mundine’s plea to his social media followers goes against all recommended health advice, with medical professionals urging people to get vaccinated when they can.', 'Speaking on his 2GB radio show on Tuesday, Hadley laid into Mundine.', '“In the past, I’ve ignored your rantings … because I think at the base of it you’re not a bad person. But this irresponsible stupidity that you’re now posting can cause great concern for people,” Hadley said.', '“Anthony, I’ll take my medical advice from professors and doctors, not you.', '“You read that somewhere on the internet, did you, Anthony? Or did someone read it to you?', '“It’s just mind-boggling that a young man who’s reasonably intelligent, one would hope, could come out with such unadulterated bulls**t. Because that’s exactly what it is.”', 'The government’s handling of Australia’s vaccine rollout has come under fire for not matching the speed and efficiency of other vaccination efforts around the world.', 'Last month Prime Minister Scott Morrison scrapped plans to announce a new deadline to vaccinate all Australians by the end of the year against COVID-19 in an admission over the “uncertainties” surrounding the program.', 'Vaccination efforts have also been complicated by a small number of cases of people who received the AstraZeneca vaccine developing blood clots. Around four to six people out of every million suffered the rare illness after receiving the AstraZeneca shot.', 'The Australian Technical Advisory Group on Immunisation (ATAGI) subsequently advised everyone under the age of 50 to receive an alternative to the AstraZeneca shot.', 'More than 200,000 Australians have participated in feeding back data on the Pfizer and AstraZeneca vaccines. Some 51.8 per cent of respondents reported some kind of adverse reaction, but only 1.2 per cent experienced reactions serious enough for them to seek medical attention.', 'Mundine retired from professional boxing following a first-round knockout defeat against Michael Zerafa in March.', 'The former rugby league star was an embarrassment in his final fight, failing to lay a glove on Zerafa and being knocked down twice in two minutes.', 'Mundine had won just one fight since 2014 and lost five of his final six bouts, taking his official record to 48-11.', 'The former world champion had “retired” several times before, most notably after his brutal loss to Jeff Horn three years ago.', 'Michael Zerafa has promised to rename the ‘Tszyucastle Entertainment Centre’ to ‘Zerafaville’ after beating Tim Tszyu.', 'Paul Gallen openly admits he never wanted to win titles when he took up boxing but that could all change if he stuns Justis Huni.', 'Our Apps']",0.47502851091560766,-0.023965461062235262,Negative
14,"['An infectious diseases expert says more travel bubbles will be opening between Australia and other countries within the next few months.', 'Speaking to Channel 9’s Today Show, Professor Robert Booy at the University of Sydney said despite the federal government pointing to a 2022 reopening, he believes more corridors will open this year.', '', 'The comments come as Treasurer Josh Frydenberg said Australian borders will be reopened in 2022 under a “cautious approach”, but there’s a huge wildcard driving uncertainty about when and how quickly that will happen.', '“We have New Zealand, we’ll have many more,” he explained.', '“Pacific Islands – we’ll have more places, perhaps in Asia as they totally clamp down and have high vaccination rates as well.', '“We’ll get to a point where this virus is more like a cold – that too will help us open up.”', 'According to Tuesday’s budget preview, the Morrison Government has conceded the big question around the reopening of the border remains the threat that people who are vaccinated may still be able to catch and spread COVID, even if the vaccine means it will no longer kill them.', '', 'Booster shots may also be required to improve the immunity of travellers who go to regions with new variants that are immune to the first generation vaccines.', 'It’s that uncertainty that’s driving delays and caution over the reopening of Australia’s international borders that will likely be delivered in a staggered changes that test the impact of each small step to return to normal.', 'With the trans-Tasman travel bubble up and running, where we could be allowed to travel to next has been hot on the agenda.', 'Prime Minister Scott Morrison has previously mentioned places like Singapore and Japan and South Korea, but despite the corridor across the ditch – no further locations have moved forward on.', 'A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site and use it to make both advertising and content more relevant to you on our network and other sites. This is also known as Online Behavioural Advertising. You can find out more about our policy and your choices, including how to opt-out here.', 'Copyright Nationwide News Pty Ltd all rights reserved', 'Powered by WordPress.com VIP', 'By registering you accept our\xa0Privacy Policy and Terms & Conditions.\nBy registering you agree to be updated on new offers, products and services from News Pty Limited and any of its related companies using contact details provided.', 'Yes, I would like to receive marketing and communications from Escape.com.au including incredible deals, insider travel advice and jaw-dropping competitions.', 'I agree to abide by the escape.com.au Terms & Conditions of use and Privacy Policy.', 'Our Privacy Policy includes important information about our collection, use and disclosure of your personal information (including to provide you with targeted advertising based on your online activities). It explains that if you do not provide us with information we have requested from you, we may not be able to provide you with the goods and services you require. It also explains how you can access or seek correction of your personal information, how you can complain about a breach of the Australian Privacy Principles and how we will deal with a complaint of that nature.', 'Yes, I would like to receive marketing and communications from Escape.com.au including incredible deals, insider travel advice and jaw-dropping competitions.', 'I agree to abide by the escape.com.au Terms & Conditions of use and Privacy Policy.', 'I agree to abide by the escape.com.au Terms & Conditions of use and Privacy Policy.', 'Yes, I would like to receive marketing and communications from Escape.com.au including incredible deals, insider travel advice and jaw-dropping competitions.', 'Please enter your details below and one of our friendly partners will get back to you within 24-48 hours.']",0.4663800469682821,0.18301516566222453,Positive
15,"['A recent COVID-19 case in Sydney that has stumped NSW Health officials has prompted the state’s chief health officer to issue a stern warning.', 'NSW chief health officer Kerry Chant has stressed the importance of using QR codes to check into businesses as COVID-19 contact tracers scramble to find the source of infection for a man from Sydney’s eastern suburbs.', 'A man aged in his 50s and his wife became the first locally-acquired cases of the virus in NSW in more than a month when they tested positive last week.', 'Although the man’s genetic sequencing is a perfect match for a returned traveller from the US in hotel quarantine, NSW Health is yet to trace the exact point of transmission.', 'Authorities continue to believe he caught the virus during brief contact with an infectious person who was likely running errands in the community.', '“The team has been thinking of every which way this transmission could have occurred,” Dr Chant told 2GB on Tuesday.', '“(So far it is a) case that’s popped up in the eastern suburbs without explanation.', '“We’ve always got to keep an open mind that there could be another source.', '“This always adds uncertainty but at the moment we don’t have any clear crossover point for this gentleman.”', 'NSW Health has listed nine venues as close contact, which requires people who visited during allocated times to self-isolate for 14 days regardless of their test result.', 'Dr Chant urged businesses and their customers to continue vigilantly signing in using the Service NSW app’s QR code.', '“This is a wake up call … the QR codes, we really need those and people to be using them,” she said.', '“I think people can get a bit complacent.', '“We have asked people to make sure they are in prominent places (within stores).', ""“We want to make sure there's no other transmission occurring in the community that we are missing."", '“(COVID-19) can be quite mild ... so people might be putting off getting a test. But we need everyone pulling together … and come forward for testing.”', 'A toddler in Melbourne nearly lost her leg to a terrifying flesh-eating infection, with a medical institute now working on a vaccine.', 'Brisbane woman Angie Yen had her tonsils removed last month. 10 days later, the 27-year-old woke up speaking in a “funny” voice.', 'Our Apps']",0.4973679098679099,0.13742715617715615,Positive
